Samples,Chlo,Chry,Dict,Dino,Eusti,Mami,Pela,Phae,Prym,Treb
gos01,2.564102565,1.098901099,0.488400489,15.62881563,0.122100122,28.08302808,8.424908425,0,42.61294261,0.976800977
gos02,3.798882682,1.340782123,0.446927374,15.08379889,0.223463687,11.84357541,26.25698324,0,40.11173184,0.893854749
gos03,3.06122449,4.081632653,0,29.59183673,0,0,37.75510204,0,24.48979592,1.020408163
gos04,0,1.111111111,0,92.22222222,0,0,0,0,5.555555556,1.111111111
gos05,0.479233227,1.437699681,0.559105431,13.17891374,0,0.079872205,6.150159745,0.239616613,77.79552715,0.079872205
gos06,0,0,0,97.77777778,0,0,0,0,2.222222222,0
gos07,0,0.507614213,0,48.73096446,0,1.015228426,0.507614213,0,4.060913705,45.17766498
gos08,2.38095238,0.793650793,0.793650793,45.5026455,0,2.91005291,22.22222223,0.264550265,23.54497354,1.587301587
gos09,1.941747573,0,0.970873786,21.3592233,0,1.941747573,49.51456311,0,24.27184466,0
gos10,0.612557427,2.450229709,6.125574272,45.02297091,0.459418071,0.612557427,2.756508422,0.918836141,40.73506891,0.306278714
gos11,0,0,1.351351352,55.40540541,0,0,12.16216216,2.702702703,27.02702703,1.351351352
gos12,0.309597523,0.825593395,1.444788442,34.15892673,0.619195047,2.57997936,29.72136223,0.412796698,29.30856553,0.619195047
gos13,0,0.767263427,1.023017903,78.51662404,0,0.511508951,1.278772378,1.023017903,10.23017903,6.649616367
gos14,0.833333333,0,0,83.33333333,0,2.5,1.666666667,0,9.166666667,2.5
gos15,1.757469245,0.351493849,1.757469245,22.14411248,0.175746925,1.405975395,23.0228471,0.351493849,48.68189807,0.351493849
gos16,0,0,0,5.555555556,0,19.44444444,58.33333333,0,16.66666667,0
gos17,0,0.346534653,1.287128713,17.82178217,0.049504951,45.54455445,13.01980199,1.237623763,20.04950495,0.643564356
gos18,0.442477876,0.884955752,0,76.10619469,0.884955752,1.327433628,0.884955752,0.442477876,5.309734513,13.71681416
gos19,0,14.28571429,0,64.28571428,0,0,0,0,21.42857143,0
gos20,0.351288057,0.234192037,0.351288057,15.80796253,0,50.11709602,11.59250586,0.351288057,20.25761124,0.93676815
gos21,0,0.431034482,1.293103448,22.41379311,0.431034482,43.96551724,13.79310345,0.431034482,16.81034482,0.431034482
gos22,1.226993865,3.680981595,0.613496933,61.96319018,0.613496933,0.613496933,0.613496933,0,4.90797546,25.76687117
gos23,0,0,0.81632653,13.46938776,0.81632653,36.32653061,24.69387755,0,23.06122449,0.81632653
gos24,0,0.983606558,1.639344262,14.75409836,0,67.54098361,6.229508197,0,8.852459017,0
gos25,0.344827587,1.724137931,1.034482759,12.06896552,0,45.17241379,17.5862069,0.689655172,20.34482759,1.034482759
gos26,0.261780105,0.785340314,1.047120419,15.70680628,0,66.7539267,7.068062827,0,8.115183246,0.261780105
gos27,0.231328487,0.859220093,1.255783212,14.04494382,0.165234633,48.71116986,6.97290152,0.165234633,26.63582286,0.958360872
gos28,0.21978022,0.21978022,0.879120879,24.17582418,0,30.54945055,20.43956044,0.21978022,22.63736264,0.659340659
gos29,0,8.333333333,0,83.33333333,0,0,0,0,8.333333333,0
gos30,4.838709677,0,0,37.09677419,0,16.12903225,9.677419355,0,32.25806452,0
gos32,0.327868852,1.31147541,0.655737705,14.09836066,0.655737705,39.67213115,21.96721311,0,20.98360656,0.327868852
gos33,0.73313783,0.879765396,0.879765396,23.75366569,0.146627566,0.586510264,30.79178885,0,41.93548387,0.293255132
gos34,0.455235205,0.758725341,0.910470409,29.43854325,0.303490137,28.37632777,6.828528072,0.303490137,31.71471927,0.910470409
gos35,0.831600832,2.079002079,1.039501039,28.06652806,0,13.72141373,28.8981289,0.207900208,25.15592516,0
gos36,0.333333334,0.916666667,1.083333333,12.33333333,0,46.33333334,12.58333333,0.333333334,25.33333334,0.75
gos37,3.076923077,1.538461538,1.538461538,36.92307692,0,4.615384615,15.38461538,0,33.84615385,3.076923077
gos38,0,6.451612903,0,64.51612903,0,0,12.90322581,0,14.51612903,1.612903226
gos39,0.555555556,23.33333333,0,67.22222222,0,0,0.555555556,0.555555556,6.666666667,1.111111111
gos40,0.581395349,1.356589148,1.356589148,25.19379845,0,18.41085271,29.06976744,0.193798449,23.25581395,0.581395349
gos41,0,17.39130435,0,60.86956522,0,0,0,0,13.04347826,8.695652174
gos43,0.108108108,1.513513514,8.324324325,17.24324324,0.216216216,4.648648649,2.594594595,0.216216216,64.91891892,0.216216216
gos45,0.274314214,0.199501246,1.44638404,4.788029925,0,9.900249376,9.326683291,0.29925187,73.56608479,0.199501246
gos47,0.710479574,0.710479574,1.953818827,26.28774423,0.888099467,15.09769094,14.20959147,0.355239787,39.60923624,0.177619893
gos48,2.250225022,0.630063007,0.99009901,16.83168317,0.090009001,16.74167417,38.34383438,0.180018001,23.40234023,0.540054005
gos49,0,59.52380952,0,28.57142857,0,0,2.380952381,2.380952381,7.142857143,0
gos50,0.267379679,0.267379679,1.537433155,9.09090909,0.20053476,25.93582887,37.09893048,0.20053476,24.6657754,0.735294117
gos52,1.886792453,1.886792453,1.886792453,86.79245283,0,0,0,0,7.547169811,0
gos54,0.468164794,0.093632959,0.936329588,3.183520599,0,17.13483146,7.677902622,0,70.41198502,0.093632959
gos55,0,2.617801047,0.523560209,33.50785341,0.523560209,38.21989529,1.047120419,1.047120419,21.98952879,0.523560209
gos56,0.788954635,1.57790927,6.706114398,34.51676529,0.197238658,0.986193294,10.0591716,0.197238658,44.9704142,0
gos57,3.985507247,0.724637682,0.724637682,22.82608696,0,1.992753623,36.41304348,0.36231884,32.06521739,0.905797102
gos58,3.375527426,0.105485232,0.949367088,14.24050633,0,3.059071729,43.03797468,0.105485232,34.49367089,0.632911393
gos59,2.790014685,0.293685756,0.881057269,19.97063142,0,5.139500734,43.46549192,0.146842878,25.99118943,1.321585903
gos60,0.317460317,0.634920635,0.634920635,49.84126984,0,11.11111111,12.6984127,0,24.76190476,0
gos61,0,2.666666667,1.333333333,46.66666667,0,7.999999999,10.66666667,2.666666667,26.66666667,1.333333333
gos62,0.819672131,0.819672131,0,32.78688525,0,0,0.819672131,0,3.278688525,61.47540984
gos63,0.425531915,1.276595745,0.425531915,20.85106383,0.85106383,23.82978724,26.80851064,0,25.53191489,0
gos64,0,0,0,71.11111111,0,0,0,0,6.666666667,22.22222222
gos65,28.71287129,0.99009901,0,12.87128713,0,21.78217822,11.88118812,0,11.88118812,11.88118812
gos66,0.299401198,2.395209581,4.790419162,26.04790419,0.299401198,4.790419162,27.84431138,0.598802395,32.93413173,0
gos67,0,7.692307692,7.692307692,61.53846154,0,7.692307692,0,0,0,15.38461538
gos68,0.44345898,1.773835921,4.21286031,35.25498891,0.66518847,2.2172949,11.0864745,0.66518847,43.45898004,0.22172949
gos69,0.668449198,1.871657754,1.737967914,10.02673797,0,34.49197861,20.18716577,0.401069519,29.81283423,0.802139038
gos70,0,0,0,31.25,0,0,37.5,0,31.25,0
gos71,30.76923077,0,0,7.692307692,0,23.07692308,15.38461538,0,23.07692308,0
gos72,6.779661017,0.564971752,0.564971752,20.33898305,0,2.824858757,30.50847457,0.564971752,37.2881356,0.564971752
gos73,2.564102564,2.564102564,0,88.88888889,0,0,0.854700855,0,2.564102564,2.564102564
gos75,0.915750916,0.549450549,1.098901099,15.01831502,0.091575092,19.96336996,26.83150183,0.366300367,34.06593406,1.098901099
gos76,1.97044335,2.463054187,0.492610837,39.40886699,0.492610837,8.866995075,11.8226601,0.985221675,33.00492611,0.492610837
gos77,0.512820513,1.538461538,0.512820513,88.71794872,0,0,0.512820513,0,6.153846154,2.051282051
gos78,1.183431952,0.986193294,0.887573965,14.49704142,0,25.93688363,34.81262327,0.09861933,21.30177515,0.295857989
gos79,0.290747392,0.461775269,0.53018642,4.378313665,0,0.376261331,4.891397298,0.051308364,89.00290747,0.017102788
gos80,0.319488817,3.514376997,6.070287541,47.28434505,0.958466453,0,1.277955272,0.319488817,40.25559106,0
gos81,0.470219436,0.626959248,0.940438871,31.66144201,0.470219436,14.73354232,19.43573668,1.097178684,30.2507837,0.313479623
gos82,1.587301587,1.058201058,3.174603174,50.26455027,0,1.587301587,6.349206349,1.058201058,28.57142857,6.349206349
gos84,0.210526316,0,1.157894737,7.999999999,0.210526316,21.36842105,41.68421053,0.105263158,26.94736842,0.315789473
gos85,1.754385965,4.093567252,1.169590644,56.7251462,0,11.11111111,13.4502924,0.584795322,10.52631579,0.584795322
gos86,0.514933059,0.205973224,1.544799177,14.21215242,0.514933059,0.617919671,51.08135942,0.102986611,31.10195675,0.102986611
gos87,0,1.071428571,2.857142857,29.82142857,0.535714286,8.928571428,20.53571428,0,36.07142857,0.178571429
gos88,0,2.158273381,6.330935252,37.12230216,0.71942446,0.143884892,2.302158274,0.287769784,50.79136691,0.143884892
gos89,1.229508197,1.229508197,0.409836066,75.81967213,0,0,0.819672131,0.409836066,18.44262295,1.639344262
gos90,0.27331739,0.102494021,0.81995217,12.53843526,0.034164673,25.93098736,16.7748548,0.034164673,43.32080629,0.170823368
gos91,0.471698114,1.41509434,2.830188679,35.84905661,0,15.56603774,8.018867925,0.471698114,33.49056603,1.886792453
gos93,0.218459858,0.764609503,1.365374112,14.74604042,0.327689787,33.15128345,18.84216275,0.382304752,29.92900055,0.273074822