,Chlorophyceae,Chrysophyceae,Dictyochophyceae,Dinophyceae,Eustigmatales,Hyphochytriales,Mamiellophyceae,Pelagophyceae,Phaeophyceae,Prymnesiophyceae,Trebouxiophyceae,Sample_id
ERR588857,21,9,4,128,1,3,230,69,0,349,8,gos1
ERR598942,34,12,4,135,2,4,106,235,0,359,8,gos2
ERR598943,3,4,0,29,0,0,0,37,0,24,1,gos3
ERR598944,0,1,0,83,0,0,0,0,0,5,1,gos4
ERR598945,6,18,7,165,0,1,1,77,3,974,1,gos5
ERR598946,0,0,0,44,0,0,0,0,0,1,0,gos6
ERR598947,0,1,0,96,0,1,2,1,0,8,89,gos7
ERR598948,9,3,3,172,0,4,11,84,1,89,6,gos8
ERR598952,2,0,1,22,0,0,2,51,0,25,0,gos9
ERR598954,4,16,40,294,3,12,4,18,6,266,2,gos10
ERR598956,0,0,1,41,0,2,0,9,2,20,1,gos11
ERR598957,3,8,14,331,6,4,25,288,4,284,6,gos12
ERR598958,0,3,4,307,0,2,2,5,4,40,26,gos13
ERR598960,1,0,0,100,0,1,3,2,0,11,3,gos14
ERR598961,10,2,10,126,1,5,8,131,2,277,2,gos15
ERR598962,0,0,0,2,0,0,7,21,0,6,0,gos16
ERR598963,0,7,26,360,1,4,920,263,25,405,13,gos17
ERR598964,1,2,0,172,2,0,3,2,1,12,31,gos18
ERR598965,0,2,0,9,0,0,0,0,0,3,0,gos19
ERR598968,3,2,3,135,0,4,428,99,3,173,8,gos20
ERR598970,0,1,3,52,1,1,102,32,1,39,1,gos21
ERR598971,2,6,1,101,1,1,1,1,0,8,42,gos22
ERR598972,0,0,4,66,4,3,178,121,0,113,4,gos23
ERR598973,0,3,5,45,0,1,206,19,0,27,0,gos24
ERR598979,1,5,3,35,0,1,131,51,2,59,3,gos25
ERR598982,1,3,4,60,0,0,255,27,0,31,1,gos26
ERR598983,7,26,38,425,5,2,1474,211,5,806,29,gos27
ERR598986,1,1,4,110,0,1,139,93,1,103,3,gos28
ERR598987,0,1,0,10,0,0,0,0,0,1,0,gos29
ERR598988,3,0,0,23,0,1,10,6,0,20,0,gos30
ERR598989,10,7,10,109,0,1,3,196,3,220,2,gos31
ERR598990,1,4,2,43,2,2,121,67,0,64,1,gos32
ERR598992,5,6,6,162,1,6,4,210,0,286,2,gos33
ERR598994,3,5,6,194,2,2,187,45,2,209,6,gos34
ERR598995,4,10,5,135,0,3,66,139,1,121,0,gos35
ERR598996,4,11,13,148,0,1,556,151,4,304,9,gos36
ERR598997,2,1,1,24,0,0,3,10,0,22,2,gos37
ERR598999,0,4,0,40,0,0,0,8,0,9,1,gos38
ERR599000,1,42,0,121,0,0,0,1,1,12,2,gos39
ERR599001,3,7,7,130,0,3,95,150,1,120,3,gos40
ERR599004,0,4,0,14,0,0,0,0,0,3,2,gos41
ERR599005,0,0,5,87,0,1,3,7,1,42,2,gos42
ERR599006,2,28,154,319,4,8,86,48,4,1201,4,gos43
ERR599008,2,1,2,109,0,1,0,3,0,160,0,gos44
ERR599009,11,8,58,192,0,4,397,374,12,2950,8,gos45
ERR599010,1,10,31,156,2,2,0,6,1,317,0,gos46
ERR599012,4,4,11,148,5,5,85,80,2,223,1,gos47
ERR599014,25,7,11,187,1,2,186,426,2,260,6,gos48
ERR599015,0,25,0,12,0,0,0,1,1,3,0,gos49
ERR599017,4,4,23,136,3,1,388,555,3,369,11,gos50
ERR599020,8,7,8,213,2,0,35,99,1,123,83,gos51
ERR599021,1,1,1,46,0,0,0,0,0,4,0,gos52
ERR599026,0,3,6,76,1,31,51,89,1,181,1,gos53
ERR599027,5,1,10,34,0,2,183,82,0,752,1,gos54
ERR599029,0,5,1,64,1,12,73,2,2,42,1,gos55
ERR599030,4,8,34,175,1,12,5,51,1,228,0,gos56
ERR599032,22,4,4,126,0,2,11,201,2,177,5,gos57
ERR599038,32,1,9,135,0,4,29,408,1,327,6,gos58
ERR599039,19,2,6,136,0,1,35,296,1,177,9,gos59
ERR599040,1,2,2,157,0,0,35,40,0,78,0,gos60
ERR599042,0,2,1,35,0,0,6,8,2,20,1,gos61
ERR599044,1,1,0,40,0,0,0,1,0,4,75,gos62
ERR599046,1,3,1,49,2,1,56,63,0,60,0,gos63
ERR599047,0,0,0,32,0,1,0,0,0,3,10,gos64
ERR599050,29,1,0,13,0,0,22,12,0,12,12,gos65
ERR599052,1,8,16,87,1,3,16,93,2,110,0,gos66
ERR599055,0,1,1,8,0,0,1,0,0,0,2,gos67
ERR599057,2,8,19,159,3,29,10,50,3,196,1,gos68
ERR599058,5,14,13,75,0,9,258,151,3,223,6,gos69
ERR599063,0,0,0,5,0,1,0,6,0,5,0,gos70
ERR599064,4,0,0,1,0,0,3,2,0,3,0,gos71
ERR599066,12,1,1,36,0,1,5,54,1,66,1,gos72
ERR599071,3,3,0,104,0,0,0,1,0,3,3,gos73
ERR599072,0,4,0,98,0,0,1,2,0,5,0,gos74
ERR599078,10,6,12,164,1,3,218,293,4,372,12,gos75
ERR599081,4,5,1,80,1,2,18,24,2,67,1,gos76
ERR599086,1,3,1,173,0,0,0,1,0,12,4,gos77
ERR599087,12,10,9,147,0,2,263,353,1,216,3,gos78
ERR599090,17,27,31,256,0,15,22,286,3,5204,1,gos79
ERR599093,1,11,19,148,3,2,0,4,1,126,0,gos80
ERR599100,3,4,6,202,3,7,94,124,7,193,2,gos81
ERR599112,3,2,6,95,0,4,3,12,2,54,12,gos82
ERR599115,5,19,2,413,0,0,2,5,0,28,13,gos83
ERR599129,2,0,11,76,2,1,203,396,1,256,3,gos84
ERR599133,3,7,2,97,0,8,19,23,1,18,1,gos85
ERR599135,5,2,15,138,5,1,6,496,1,302,1,gos86
ERR599136,0,6,16,167,3,4,50,115,0,202,1,gos87
ERR599142,0,15,44,258,5,11,1,16,2,353,1,gos88
ERR599156,3,3,1,185,0,3,0,2,1,45,4,gos89
ERR599160,8,3,24,367,1,13,759,491,1,1268,5,gos90
ERR599162,1,3,6,76,0,7,33,17,1,71,4,gos91
ERR599166,1,1,0,119,0,0,0,0,1,6,48,gos92
ERR599170,4,14,25,270,6,4,607,345,7,548,5,gos93
