Samples,Depth,NO2NO3,PO4,NO2,O2,Salinity,Temperature
gos01,5,7.09,1.02,0.17,249.4,36.3,26.5
gos02,45,36.98,2.62,0.01,143.2,36.3,13.2
gos03,5,0.02,0.1,0,199.1,36.4,24.9
gos04,800,30.52,2.91,0.07,1.6,36.3,10.2
gos05,5,0.05,0,0,207.6,39.4,1.8
gos06,177,7.09,1.02,0.17,249.4,36.3,13
gos07,700,0.06,0,0.03,185,35.2,7
gos08,115,7.09,1.02,0.17,249.4,36.3,24.7
gos09,30,0.02,0.08,0,207.4,35.3,26.5
gos10,5,3.23,0.37,0.26,240.4,36.3,24.2
gos11,150,0.05,0,0.02,194.3,36.2,22.1
gos12,155,0.15,0.07,0.07,229.5,36.3,22.3
gos13,250,5.7,0.78,0.16,216.8,36.3,18.2
gos14,850,0.47,0.18,0.03,192.6,36.3,8.4
gos15,90,2.26,0.17,0.32,239.4,36.3,19.9
gos16,40,3.73,0.56,0.19,187.3,36.3,19.6
gos17,5,7.55,1.07,0.37,237.2,36.3,18.7
gos18,740,0,0.08,0,210,35.3,10.6
gos19,35,18.15,1.3,0.15,305,36.3,16.4
gos20,5,1.3,0.46,0.08,227.7,36.3,19.1
gos21,5,0.03,0.01,0,218,38.2,22.2
gos22,380,0.02,0.1,0,199.1,36.4,11.3
gos23,65,0.03,0.01,0,218,38.2,22.3
gos24,5,0.1,0,0.05,217.1,36.3,15
gos25,5,6.05,0.88,0.31,95.4,36.3,21.8
gos26,30,2.68,0.5,0.04,208.9,36.3,15
gos27,5,0,0.06,0,206.2,37.1,14.1
gos28,80,31,2.31,0.06,325.4,36.3,16.8
gos29,40,0.03,0.28,0,219.2,34.7,18.6
gos30,120,4.6,0.5,0.11,203.1,36.3,25.2
gos32,30,34.55,2.95,0.01,0.6,36.3,21.8
gos33,5,3.73,0.56,0.19,187.3,36.3,26.5
gos34,5,0.99,0.36,0.05,215.7,36.3,12.8
gos35,115,34.63,2.43,0.02,38.1,36.3,15.3
gos36,40,23.9,2.68,0.03,0.7,36.3,17.7
gos37,5,6.18,0.63,0.16,190.7,36.3,27.6
gos38,600,0.64,0.09,0.27,175.4,36.3,7.2
gos39,800,0,0.02,0.01,188.4,39.7,4.7
gos40,25,0.02,0,0,221.5,36.3,14.3
gos41,450,0,0.12,0,191.7,34.6,8.2
gos43,5,2.16,0.16,0.31,243.1,36.3,19.9
gos45,5,0.03,0.08,0,189.3,34.6,7.3
gos47,5,31,2.31,0.06,325.4,36.3,25.1
gos48,50,0,0.16,0,196.9,33.4,21.8
gos49,375,0.06,0.08,0.01,187.3,34.2,8.9
gos50,50,28.5,2.11,0.11,343.4,36.3,16.8
gos52,1000,1.39,0.34,0.15,132.8,36.3,7.7
gos54,40,0,0,0.02,190.1,35.1,7
gos55,5,0.1,0,0.05,217.1,36.3,27.1
gos56,5,1.08,0.23,0.29,231.7,36.3,26.6
gos57,40,23.43,2.64,0.69,2.4,36.3,26.1
gos58,5,23.43,2.64,0.69,2.4,36.3,26.1
gos59,5,0.03,0.23,0.01,193.4,36.3,23.9
gos60,150,21.11,1.36,0.01,155.2,36.3,21.6
gos61,188,0.05,0.13,0.02,225.5,34.4,20.2
gos62,800,0,0.02,0.01,188.4,39.7,4.2
gos63,120,8.2,0.75,0.31,190.8,36.3,19.3
gos64,640,15.24,1.12,0,193,36.3,11
gos65,5,0.15,0,0.09,212.6,36.3,21.1
gos66,5,44.24,3.29,0,8.6,36.3,19.2
gos67,480,0.09,0.14,0,187.4,36,9.2
gos68,5,1.21,0.49,0.35,175.9,36.3,27.3
gos69,5,0.02,0,0,221.5,36.3,27
gos70,5,0.05,0.01,0.01,224.3,38.4,25.3
gos71,5,6.2,0.68,0.14,200.2,36.3,18
gos72,5,36.73,2.52,0.01,161.7,36.3,26.8
gos73,488,28.64,1.94,0.02,185.2,36.3,8.1
gos75,5,0,0.04,0.02,203.8,36.7,14.3
gos76,50,0.02,0.01,0.02,232.1,36.2,20.6
gos77,350,0.02,0.08,0,207.4,35.3,10.9
gos78,60,38.1,2.8,0,1.3,36.3,19
gos79,5,0.02,0,0.01,218.1,39.3,0.7
gos80,5,0.9,0.27,0.04,198.6,36.3,25.1
gos81,125,0.04,0.14,0.01,194.4,36.6,24.9
gos82,1000,3.23,0.37,0.26,240.4,36.3,6.2
gos84,5,25.3,1.72,0.27,338.3,36.3,16.8
gos85,100,19.07,1.42,0.14,306.2,36.3,24.1
gos86,5,3.15,0.56,0.06,160.5,36.3,19.8
gos87,5,0,0.04,0.02,203.8,36.7,25
gos88,5,0.02,0.01,0.03,237.9,37.9,25.2
gos89,140,1.39,0.34,0.15,132.8,36.3,23.7
gos90,5,1.08,0.23,0.29,231.7,36.3,26.6
gos91,5,22.08,1.53,0,195.2,36.3,26.6
gos93,5,31.46,2.15,0.01,199.2,36.3,17.6