Sample_Id,Accession,Other.eukaryota,PPE,Env_feature,Region,Biome
gos09,ERR598952,74.25,25.75,DCM,NPO ,Coastal
gos14,ERR598960,96.82747771,3.172522286,MES,IO ,Coastal
gos19,ERR598965,90.72847682,9.271523179,DCM,SPO ,Coastal
gos21,ERR598970,69.74025974,30.25974026,SRF,IO ,Coastal
gos22,ERR598971,97.91825336,2.081746636,MES,NPO ,Coastal
gos23,ERR598972,68.75792142,31.24207858,DCM,IO ,Coastal
gos24,ERR598973,70.88487155,29.11512845,SRF,SAO ,Coastal
gos25,ERR598979,75.58724832,24.41275168,SRF,IO ,Coastal
gos26,ERR598982,73.69146006,26.30853994,DCM,SAO ,Coastal
gos32,ERR598990,81.79122183,18.20877817,DCM,IO ,Coastal
gos34,ERR598994,76.20590353,23.79409647,SRF,SAO ,Coastal
gos37,ERR598997,82.93963255,17.06036745,SRF,NPO ,Coastal
gos45,ERR599009,55.32554257,44.67445743,SRF,SAO ,Coastal
gos47,ERR599012,80.89471914,19.10528086,SRF,IO ,Coastal
gos52,ERR599021,96.41164523,3.588354773,MES,IO ,Coastal
gos54,ERR599027,51.38573376,48.61426624,DCM,SAO ,Coastal
gos55,ERR599029,82.08296558,17.91703442,SRF,NAO ,Coastal
gos68,ERR599057,84.59563543,15.40436457,SRF,IO ,Coastal
gos69,ERR599058,68.25995807,31.74004193,SRF,IO ,Coastal
gos71,ERR599064,87.12871287,12.87128713,SRF,SPO ,Coastal
gos81,ERR599100,82.80916844,17.19083156,DCM,NAO ,Coastal
gos82,ERR599112,95.62060359,4.379396415,MES,IO ,Coastal
gos87,ERR599136,80.97807757,19.02192243,SRF,NAO ,Coastal
gos91,ERR599162,88.72876994,11.27123006,SRF,NPO ,Coastal
gos05,ERR598945,74.28688693,25.71311307,SRF,SO ,Polar 
gos79,ERR599090,53.48357404,46.51642596,SRF,SO ,Polar 
gos01,ERR588857,78.31134565,21.68865435,SRF,SPO ,Trades 
gos03,ERR598943,80.28169014,19.71830986,SRF,SPO ,Trades 
gos06,ERR598946,91.46110057,8.538899431,DCM,SPO ,Trades 
gos07,ERR598947,97.68610494,2.313895057,MES,SAO ,Trades 
gos08,ERR598948,89.73945743,10.26054257,DCM,SPO ,Trades 
gos10,ERR598954,87.3790093,12.6209907,SRF,SPO ,Trades 
gos11,ERR598956,92.7756654,7.224334601,MIX,SPO ,Trades 
gos12,ERR598957,85.45155502,14.54844498,DCM,SPO ,Trades 
gos15,ERR598961,82.6533696,17.3466304,DCM,SPO ,Trades 
gos16,ERR598962,81.63265306,18.36734694,DCM,SPO ,Trades 
gos29,ERR598987,90,10,DCM,NPO ,Trades 
gos30,ERR598988,88.18011257,11.81988743,MIX,SPO ,Trades 
gos33,ERR598992,69.39501779,30.60498221,SRF,SPO ,Trades 
gos38,ERR598999,95.32428356,4.67571644,MES,SPO ,Trades 
gos39,ERR599000,95.7112223,4.288777698,MES,SAO ,Trades 
gos41,ERR599004,97.6016684,2.398331595,MES,NPO ,Trades 
gos43,ERR599006,74.81360987,25.18639013,SRF,SAO ,Trades 
gos48,ERR599014,81.17388363,18.82611637,DCM,SPO ,Trades 
gos49,ERR599015,91.06382979,8.936170213,MES,NPO ,Trades 
gos50,ERR599017,59.16530278,40.83469722,DCM,SAO ,Trades 
gos56,ERR599030,85.45403587,14.54596413,SRF,NPO ,Trades 
gos57,ERR599032,86.95856874,13.04143126,DCM,SPO ,Trades 
gos58,ERR599038,73.74517375,26.25482625,SRF,SPO ,Trades 
gos59,ERR599039,75.00916086,24.99083914,SRF,SPO ,Trades 
gos60,ERR599040,87.81902552,12.18097448,DCM,SAO ,Trades 
gos61,ERR599042,90.72929543,9.270704574,DCM,SPO ,Trades 
gos62,ERR599044,97.52786221,2.472137791,MES,SAO ,Trades 
gos63,ERR599046,81.8321786,18.1678214,DCM,SAO ,Trades 
gos65,ERR599050,87.81664656,12.18335344,SRF,SPO ,Trades 
gos67,ERR599055,98.06835067,1.931649331,MES,SPO ,Trades 
gos70,ERR599063,86.29032258,13.70967742,SRF,SPO ,Trades 
gos72,ERR599066,73.23308271,26.76691729,SRF,SPO ,Trades 
gos73,ERR599071,94.11764706,5.882352941,MES,SPO ,Trades 
gos76,ERR599081,91.33192389,8.66807611,DCM,SPO ,Trades 
gos77,ERR599086,94.94556765,5.054432348,MES,SPO ,Trades 
gos78,ERR599087,85.48571429,14.51428571,DCM,NPO ,Trades 
gos80,ERR599093,84.25,15.75,SRF,SPO ,Trades 
gos84,ERR599129,53.31369661,46.68630339,SRF,SAO ,Trades 
gos85,ERR599133,91.86733303,8.13266697,DCM,SAO ,Trades 
gos86,ERR599135,68.44155844,31.55844156,SRF,SAO ,Trades 
gos89,ERR599156,96.37511007,3.624889932,MIX,SPO ,Trades 
gos90,ERR599160,67.79846659,32.20153341,SRF,SPO ,Trades 
gos02,ERR598942,81.46009486,18.53990514,DCM,NPO ,Westerlies
gos04,ERR598944,95.02212389,4.977876106,MES,NAO ,Westerlies
gos13,ERR598958,95.47287179,4.527128211,MES,NAO ,Westerlies
gos17,ERR598963,78.75957603,21.24042397,SRF,NAO ,Westerlies
gos18,ERR598964,96.13609164,3.86390836,MES,NAO ,Westerlies
gos20,ERR598968,74.69026549,25.30973451,SRF,NAO ,Westerlies
gos27,ERR598983,74.39756489,25.60243511,SRF,NAO ,Westerlies
gos28,ERR598986,85.26655897,14.73344103,DCM,NAO ,Westerlies
gos35,ERR598995,85.46109943,14.53890057,DCM,NPO ,Westerlies
gos36,ERR598996,71.56723485,28.43276515,DCM,NAO ,Westerlies
gos40,ERR599001,80.29612756,19.70387244,MIX,NAO ,Westerlies
gos64,ERR599047,96.47239264,3.527607362,MES,NAO ,Westerlies
gos66,ERR599052,78.75157629,21.24842371,SRF,NPO ,Westerlies
gos75,ERR599078,73.27964861,26.72035139,SRF,NAO ,Westerlies
gos88,ERR599142,82.79727096,17.20272904,SRF,NPO ,Westerlies
gos93,ERR599170,72.52994012,27.47005988,SRF,NAO ,Westerlies